CellId,Nuclear Volume [fL],Cellular Volume [fL],Nuclear Surface Area [um^2],Cellular Surface Area [um^2],Radial Proximity [unitless],Apical Proximity [unitless]
388,629.333756,1906.902743,343.2121,1016.0121,0.603796162283613,0.592195225960786
393,597.335388,1673.670736,324.4578,915.7649,0.0036686097236327,0.394248826047308
405,747.596017,1909.609922,408.1373,1004.6586,0.634031478846925,0.499352699634959
423,798.812917,2497.116543,462.8864,1265.8732,0.687262020885537,0.603218143542155
424,637.943073,2051.139289,421.2569,1104.6535,0.37812006291684,0.43096609593181
448,433.904699,1426.049219,294.4341,776.4112,0.670082877763776,0.218087325891727
449,672.526675,2090.917748,433.115,1299.8496,0.763359782496126,0.0472138428261812
451,471.780816,1504.508632,303.601,888.4324,0.638585153332454,0.330037923137633
457,148.943623,1298.397193,121.3563,589.7092,0.90970036672693,0.411091400874664
461,775.204365,2383.390636,432.1899,1084.3854,0.733819290619083,0.563938358449657
462,430.70974,3124.060177,349.9401,1221.6366,0.939264458042297,0.188624291249863
463,480.829135,1883.708804,276.0162,899.7859,0.782165772065655,0.598089850644174
464,299.862755,1715.229592,208.3157,778.8501,0.810619413821928,0.688224464889562
491,753.181098,2114.379966,388.2897,938.2196,0.211772383918978,0.814310889638489
498,320.447071,3900.240102,290.2291,1345.9364,0.980604617187067,0.255860959113792
511,276.034702,1849.027646,190.6547,768.4217,0.752259881647276,0.683164542993943
512,275.132309,1697.693901,196.5417,748.2377,0.862937553041343,0.346593782558623
513,778.521269,2392.170676,407.1281,1101.9623,0.634511713142419,0.43000592177988
518,689.72092,1960.899989,389.1307,1057.8939,0.493557235340911,0.585972751559146
535,178.576258,1738.862533,140.3629,668.2586,0.824106240960443,0.453555775611324
540,296.960464,3300.56337,268.8677,1268.9849,0.977286814695654,0.35909140955946
543,527.143846,1568.822425,308.5629,827.2917,0.516485462650732,0.674250062855326
544,275.059142,1651.330412,193.7664,771.8698,0.548684073387399,0.499026891879466
546,163.723357,1757.983509,142.3813,740.921,0.900787067032523,0.457789866451042
561,288.204813,1752.203316,207.727,865.0526,0.831476521900045,0.635638124789546
567,854.614949,2314.369766,448.8417,1165.5419,0.578050630649591,0.261022179539663
569,534.1191,1416.976511,312.5997,775.3179,0.583636375298255,0.426837239265015
576,409.710811,1644.720993,249.9452,835.0289,0.627528443397672,0.34670051608455
